name,salary_from,salary_to,salary_currency,area_name,published_at
Выездной мастер по ремонту холодильников,50000,,RUR,Томск,2022-12-25T05:51:10+0300
Программист 1С (БП и ЗУП),,,,Москва,2022-12-25T10:04:59+0300
Токарь ЧПУ Ново-Ленино,50000,60000,RUR,Иркутск,2022-12-25T11:49:27+0300
Разработчик Bitrix24,,,,Санкт-Петербург,2022-12-25T10:05:29+0300
Токарь,,45000,RUR,Навашино,2022-12-25T08:39:41+0300
Младший разработчик баз данных MS SQL/Data engineer,,,,Москва,2022-12-25T11:11:30+0300
Ведущий аналитик 1С,,,,Санкт-Петербург,2022-12-25T10:05:41+0300
Golang разработчик (Тинькофф Инвестиции),,,,Краснодар,2022-12-25T08:11:14+0300
Главный механик золотоизвлекательной фабрики,150000,180000,RUR,Иркутск,2022-12-25T06:43:30+0300
Маляр,42000,,RUR,Санкт-Петербург,2022-12-25T10:48:29+0300
Токарь,,45000,RUR,Кулебаки,2022-12-25T08:39:40+0300
Инженер по информационной безопасности / Information Security Expert,,,,Москва,2022-12-25T10:50:16+0300
Токарь,,45000,RUR,Выкса,2022-12-25T08:39:41+0300
Разработчик Oracle (подсистема «Кредиты»),,,,Новосибирск,2022-12-25T05:35:53+0300
QA Engineer (Auto на Java) / Ведущий инженер по тестированию,,,,Москва,2022-12-25T10:05:05+0300
Токарь,,45000,RUR,Муром,2022-12-25T08:39:41+0300
Фрезеровщик 3-4 разряда,,,,Ковдор,2022-12-25T10:49:23+0300
Ведущий инженер-программист (web-разработчик),,,,Новосибирск,2022-12-25T06:37:20+0300
Мастер по ремонту оборудования (выездной) с графиком работы 2/2,40000,60000,RUR,Санкт-Петербург,2022-12-25T11:39:30+0300
Фрезеровщик,123300,123300,RUR,Новосибирск,2022-12-25T02:41:08+0300
Golang разработчик (Тинькофф Инвестиции),,,,Сочи,2022-12-25T08:11:15+0300
Фрезеровщик,123300,123300,RUR,Чита,2022-12-25T02:41:08+0300
Технический директор,,,,Барнаул,2022-12-25T05:10:44+0300
Frontend-разработчик (React),80000,,RUR,Ростов-на-Дону,2022-12-25T14:32:46+0300
"Frontend-разработчик (HTML/CSS/JS/React), middle",,,,Нижний Новгород,2022-12-25T21:37:25+0300
Маркетолог,,,,Екатеринбург,2022-12-25T12:10:45+0300
Web-дизайнер,1100,1600,BYR,Минск,2022-12-25T15:58:54+0300
Разработчик фронтэнда,30000,60000,RUR,Москва,2022-12-25T18:42:12+0300
Разработчик фронтэнда,30000,60000,RUR,Санкт-Петербург,2022-12-25T18:42:12+0300
UX / UI designer,,,,Москва,2022-12-25T18:34:04+0300
QA-инженер,,,,Санкт-Петербург,2022-12-25T13:07:01+0300
Руководитель проектов (БПЛА),,,,Москва,2022-12-25T12:10:24+0300
Frontend React Middle Программист,60000,100000,RUR,Москва,2022-12-25T17:56:43+0300
Начальник отдела информационных технологий и связи,50000,50000,RUR,Липецк,2022-12-25T20:08:40+0300
Веб-разработчик,70000,100000,RUR,Москва,2022-12-25T14:42:29+0300
Менеджер маркетплейсов,40000,,RUR,Москва,2022-12-25T17:54:07+0300
Аналитик,,100000,RUR,Москва,2022-12-25T20:07:09+0300
Web-программист,70000,,RUR,Санкт-Петербург,2022-12-25T22:18:39+0300
Арт-менеджер,30000,,RUR,Санкт-Петербург,2022-12-25T14:06:29+0300
Руководитель станции технического обслуживания,100000,,RUR,Коломна,2022-12-25T16:11:05+0300
Технический директор,220000,,RUR,Москва,2022-12-25T17:30:40+0300
Управляющий недвижимостью в Рязани,60000,65000,RUR,Рязань,2022-12-25T17:34:49+0300
Секретарь,40000,45000,RUR,Казань,2022-12-25T13:31:20+0300
Manual QA Engineer/Тестировщик,,,,Москва,2022-12-25T23:35:27+0300
Преподаватель Информатики,45000,60000,RUR,Уфа,2022-12-25T23:10:06+0300
Системный администратор сетей кабельного телевидения (КТВ),50000,,RUR,Торжок,2022-12-25T22:19:19+0300
Руководитель федерального проекта (Партнёр),100000,200000,RUR,Владивосток,2022-12-25T15:02:13+0300
Оператор станка с ЧПУ,70000,,RUR,Москва,2022-12-25T14:47:05+0300
Главный механик,40000,50000,RUR,Кинель,2022-12-25T15:52:19+0300
Data Engineer в команду DWH,,,,Москва,2022-12-25T16:22:04+0300
Разработчик Wordpress сайтов,150000,500000,KZT,Алматы,2022-12-25T20:26:19+0300
Flutter разработчик,200000,,RUR,Москва,2022-12-25T12:06:43+0300
"Финансовый журналист (акции, облигации) в Санкт-Петербург",60000,100000,RUR,Санкт-Петербург,2022-12-25T15:15:31+0300
Программист JS,120000,220000,RUR,Екатеринбург,2022-12-25T13:03:28+0300
Оператор-наладчик ЧПУ,60000,80000,RUR,Нижний Новгород,2022-12-25T16:30:14+0300
Руководитель стратегических проектов,,,,Москва,2022-12-25T19:34:35+0300
Ведущий front-end разработчик,,,,Москва,2022-12-25T16:27:23+0300
Электромеханик (специалист по подключению проводного интернета),1000,,BYR,Брест,2022-12-25T21:59:52+0300
Product Lead (B2B),,,,Москва,2022-12-25T16:26:22+0300
